2021-07-27	18:46:29	5.0000 N	4.0000 I	right eye
2021-07-27	18:47:27	0.0000 C	0.0000 C	right eye
2021-12-06	14:33:18	0.0000 C	0.0000 C	right eye
2021-12-06	14:33:38	0.0000 C	0.0000 C	right eye
2021-12-06	14:34:10	0.0000 C	0.0000 C	right eye
2021-12-13	12:51:25	3.0000 T	3.0000 S	right eye
2021-12-13	13:05:03	0.0000 C	0.0000 C	right eye
2021-12-13	13:05:22	0.0000 C	0.0000 C	right eye
2021-12-14	15:52:13	0.0000 C	0.0000 C	right eye
2021-12-14	15:52:14	0.0000 C	0.0000 C	right eye
2021-12-14	15:52:16	0.0000 C	0.0000 C	right eye
2021-12-14	15:52:17	0.0000 C	0.0000 C	right eye
2021-12-14	15:52:18	0.0000 C	0.0000 C	right eye
2021-12-14	15:52:19	0.0000 C	0.0000 C	right eye
2021-12-14	15:52:25	0.0000 C	0.0000 C	right eye
2021-12-14	15:52:26	0.0000 C	0.0000 C	right eye
2021-12-14	15:52:31	0.0000 C	0.0000 C	right eye
2021-12-14	15:52:32	0.0000 C	0.0000 C	right eye
2021-12-14	15:52:37	0.0000 C	0.0000 C	right eye
2021-12-14	15:52:38	0.0000 C	0.0000 C	right eye
2021-12-14	15:55:34	0.0000 C	0.0000 C	right eye
2021-12-14	15:55:45	1.0000 T	0.0000 C	right eye
2021-12-14	15:55:46	2.0000 T	0.0000 C	right eye
2021-12-14	15:55:47	3.0000 T	0.0000 C	right eye
2021-12-14	15:55:50	4.0000 T	0.0000 C	right eye
2021-12-14	15:55:51	5.0000 T	0.0000 C	right eye
2021-12-14	15:55:52	7.0000 T	0.0000 C	right eye
2021-12-14	15:57:30	0.0000 C	0.0000 C	right eye
2021-12-14	16:00:49	0.0000 C	0.0000 C	right eye
2021-12-14	16:00:54	1.0000 T	0.0000 C	right eye
2021-12-14	16:01:01	2.0000 T	0.0000 C	right eye
2021-12-14	16:01:06	7.0000 T	0.0000 C	right eye
2021-12-14	16:01:15	7.0000 T	0.0000 C	right eye
2021-12-14	16:01:50	0.0000 C	0.0000 C	right eye
2021-12-14	16:02:10	6.0000 T	0.0000 C	right eye
2021-12-14	16:02:29	0.0000 C	0.0000 C	right eye
2021-12-14	16:02:34	1.0000 T	0.0000 C	right eye
2021-12-14	16:02:40	3.0000 T	0.0000 C	right eye
2021-12-14	16:02:51	3.0000 T	2.0000 S	right eye
